user_id,date,playtime,stages_cleared,gacha_pulls,pvp_battles,guild_activities
U000002,12/02,147,34,3,4,3
U000002,12/03,151,6,6,10,3
U000002,12/04,150,15,1,0,0
U000002,12/05,119,27,0,0,2
U000002,12/06,119,23,3,11,2
U000002,12/07,215,22,0,12,4
U000002,12/08,178,17,3,5,1
U000002,12/09,157,12,8,7,1
U000002,12/10,49,29,2,12,3
U000002,12/11,188,12,1,5,4
U000002,12/12,125,28,9,3,2
U000002,12/13,140,39,7,1,3
U000002,12/14,239,30,3,3,4
U000002,12/15,45,34,5,5,0
U000002,12/16,128,14,3,6,4
U000002,12/17,134,21,6,14,0
U000002,12/18,116,28,3,13,1
U000002,12/19,237,26,5,3,2
U000002,12/20,225,6,7,12,1
U000002,12/21,68,39,3,13,1
U000002,12/22,85,19,8,14,0
U000002,12/23,154,29,3,5,4
U000002,12/24,203,15,2,3,1
U000002,12/25,35,36,2,11,2
U000002,12/26,158,5,5,1,3
U000002,12/27,188,26,2,10,4
U000002,12/28,92,28,8,7,2
U000002,12/29,117,22,0,4,4
U000002,12/30,69,26,9,11,4
U000002,12/31,133,31,9,4,3
U000002,01/01,114,34,0,6,0
U000002,01/02,84,7,9,10,1
U000002,01/03,161,32,5,2,0
U000002,01/04,138,37,6,14,3
U000002,01/05,96,9,7,13,2
U000002,01/06,188,7,5,1,4
U000002,01/07,48,12,9,14,0
U000002,01/08,223,11,6,13,1
U000002,01/09,152,6,2,3,0
U000002,01/10,102,28,0,1,1
U000002,01/11,153,28,5,9,0
U000002,01/12,187,15,2,5,4
U000002,01/13,222,31,8,4,3
U000002,01/14,196,21,7,11,2
U000002,01/15,176,17,7,11,1
U000002,01/16,137,6,3,3,3
U000002,01/17,137,10,8,1,1
U000002,01/18,235,25,7,14,0
U000002,01/19,165,7,1,11,4
U000002,01/20,157,31,3,7,1
U000002,01/21,224,29,0,0,1
U000002,01/22,43,6,4,10,4
U000002,01/23,36,36,5,9,4
U000002,01/24,223,31,2,13,4
U000002,01/25,114,23,1,5,1
U000002,01/26,185,14,8,2,3
U000002,01/27,74,29,5,12,2
U000002,01/28,223,19,9,9,3
U000002,01/29,38,5,1,2,3
U000003,11/01,143,18,1,13,1
U000003,11/02,37,26,8,8,1
U000003,11/03,82,25,7,6,2
U000003,11/04,158,26,0,8,0
U000003,11/05,230,23,5,11,0
U000003,11/06,124,35,9,0,2
U000003,11/07,98,12,3,9,0
U000003,11/08,52,22,8,10,1
U000003,11/09,234,36,1,4,3
U000003,11/10,156,6,4,10,0
U000003,11/11,221,32,9,13,2
U000003,11/12,80,23,4,11,3
U000003,11/13,152,11,8,10,0
U000003,11/14,135,11,8,3,0
U000003,11/15,102,39,6,11,3
U000003,11/16,219,23,5,0,0
U000003,11/17,142,10,9,7,0
U000003,11/18,112,23,0,12,2
U000003,11/19,90,20,0,12,3
U000003,11/20,198,21,7,4,3
U000003,11/21,67,37,5,9,4
U000003,11/22,93,30,0,0,1
U000003,11/23,89,37,8,9,2
U000003,11/24,54,37,9,14,2
U000003,11/25,200,7,5,12,4
U000003,11/26,233,19,3,1,3
U000003,11/27,170,23,8,11,2
U000003,11/28,89,17,4,5,0
U000003,11/29,151,18,5,9,0
U000003,11/30,75,35,4,14,4
U000003,12/01,77,36,3,3,2
U000003,12/02,154,20,2,3,4
U000003,12/03,77,22,8,6,0
U000003,12/04,201,24,7,7,2
U000003,12/05,200,31,2,14,4
U000003,12/06,143,29,4,12,2
U000003,12/07,212,15,5,12,3
U000003,12/08,62,7,7,11,0
U000003,12/09,158,37,6,9,2
U000003,12/10,141,6,2,0,3
U000003,12/11,175,32,6,13,1
U000003,12/12,152,17,9,1,1
U000003,12/13,193,12,4,13,4
U000003,12/14,166,34,5,8,3
U000003,12/15,46,27,8,8,2
U000003,12/16,214,34,2,14,1
U000003,12/17,221,10,9,9,1
U000003,12/18,163,6,2,7,1
U000003,12/19,84,16,4,7,3
U000003,12/20,88,39,6,4,0
U000003,12/21,118,24,4,13,3
U000003,12/22,232,29,9,2,0
U000003,12/23,114,38,1,8,2
U000003,12/24,205,5,6,0,3
U000003,12/25,76,39,5,11,1
U000003,12/26,116,9,1,2,0
U000003,12/27,91,33,0,1,2
U000003,12/28,230,32,7,10,1
U000003,12/29,35,32,3,8,4
U000003,12/30,37,30,9,0,2
U000003,12/31,43,13,7,11,4
U000003,01/01,47,19,9,12,0
U000003,01/02,179,36,6,4,2
U000003,01/03,118,35,3,10,0
U000003,01/04,120,37,7,0,4
U000003,01/05,190,14,4,13,3
U000003,01/06,231,15,7,10,1
U000003,01/07,96,13,8,9,1
U000003,01/08,103,15,1,8,3
U000003,01/09,208,33,2,8,3
U000003,01/10,107,19,1,6,2
U000003,01/11,33,12,6,0,1
U000003,01/12,55,27,7,12,4
U000003,01/13,214,26,9,0,3
U000003,01/14,150,35,7,11,4
U000003,01/15,186,14,8,6,0
U000003,01/16,142,15,0,13,4
U000003,01/17,97,25,7,10,1
U000003,01/18,179,15,4,4,0
U000003,01/19,228,35,5,6,0
U000003,01/20,121,32,6,10,3
U000003,01/21,194,28,0,14,3
U000003,01/22,107,39,4,10,3
U000003,01/23,108,16,0,14,4
U000003,01/24,37,20,6,14,2
U000003,01/25,129,10,7,9,2
U000003,01/26,108,37,9,1,0
U000003,01/27,62,20,1,8,2
U000003,01/28,155,11,6,5,4
U000003,01/29,120,11,0,7,2
U000004,11/01,53,9,4,9,1
U000004,11/02,112,24,2,10,0
U000004,11/03,154,12,4,9,2
U000004,11/04,197,16,7,2,1
U000004,11/05,156,19,1,9,0
U000004,11/06,202,20,2,1,4
U000004,11/07,165,10,4,0,4
U000004,11/08,96,8,4,12,4
U000004,11/09,99,33,7,1,3
U000004,11/10,45,27,7,6,4
U000004,11/11,65,24,5,3,2
U000004,11/12,124,33,6,1,1
U000004,11/13,237,31,3,0,4
U000004,11/14,76,28,0,1,4
U000004,11/15,48,7,1,2,2
U000004,11/16,138,25,8,11,1
U000004,11/17,48,31,0,7,2
U000004,11/18,230,31,7,9,3
U000004,11/19,124,21,6,9,4
U000004,11/20,192,21,0,10,2
U000004,11/21,47,15,4,10,4
U000004,11/22,210,15,6,9,0
U000004,11/23,181,21,8,10,1
U000004,11/24,122,16,8,12,3
U000004,11/25,70,6,1,4,3
U000004,11/26,97,8,6,10,2
U000004,11/27,197,22,8,10,2
U000004,11/28,174,29,7,0,4
U000004,11/29,202,37,9,0,2
U000004,11/30,174,5,4,12,3
U000004,12/01,79,32,0,12,1
U000004,12/02,168,23,4,11,1
U000004,12/03,183,17,4,6,3
U000004,12/04,177,25,0,3,1
U000004,12/05,87,25,1,9,3
U000004,12/06,108,24,9,3,2
U000004,12/07,155,21,1,6,1
U000004,12/08,74,21,5,3,4
U000004,12/09,231,7,0,14,1
U000004,12/10,201,17,4,12,0
U000004,12/11,206,18,0,14,1
U000004,12/12,177,14,6,1,4
U000004,12/13,42,25,1,2,3
U000004,12/14,205,5,3,14,4
U000004,12/15,143,32,1,1,3
U000004,12/16,173,21,8,6,1
U000004,12/17,173,36,3,8,0
U000004,12/18,106,25,9,14,4
U000004,12/19,180,27,0,12,2
U000004,12/20,95,6,5,13,2
U000004,12/21,68,27,7,10,3
U000004,12/22,172,15,3,6,3
U000004,12/23,39,16,7,8,3
U000004,12/24,85,27,1,13,2
U000004,12/25,157,8,7,12,1
U000004,12/26,173,18,8,7,4
U000004,12/27,139,12,2,11,4
U000004,12/28,63,29,1,9,0
U000004,12/29,236,18,0,11,4
U000004,12/30,173,11,6,5,2
U000004,12/31,237,35,3,13,0
U000004,01/01,133,29,6,8,0
U000004,01/02,174,13,0,13,4
U000004,01/03,71,5,0,0,0
U000004,01/04,100,19,6,2,4
U000004,01/05,217,29,8,3,0
U000004,01/06,206,11,1,14,0
U000004,01/07,150,17,3,2,1
U000004,01/08,160,27,4,11,1
U000004,01/09,217,38,2,0,1
U000004,01/10,161,8,4,1,4
U000004,01/11,197,35,4,10,2
U000004,01/12,130,11,7,11,0
U000004,01/13,117,8,9,13,4
U000004,01/14,216,27,9,14,2
U000004,01/15,185,29,4,12,3
U000004,01/16,163,13,7,7,4
U000004,01/17,85,31,2,9,4
U000004,01/18,88,19,0,6,1
U000004,01/19,47,35,5,9,4
U000004,01/20,139,19,1,4,2
U000004,01/21,61,38,5,12,4
U000004,01/22,38,9,2,12,1
U000004,01/23,167,17,2,4,3
U000004,01/24,103,26,4,7,1
U000004,01/25,78,25,5,7,3
U000004,01/26,62,22,3,0,4
U000004,01/27,213,27,1,11,2
U000004,01/28,41,29,2,4,3
U000004,01/29,107,23,6,1,3
U000005,11/01,194,27,0,13,3
U000005,11/02,169,22,9,13,2
U000005,11/03,162,16,5,14,1
U000005,11/04,236,5,9,2,3
U000005,11/05,217,17,3,5,4
U000005,11/06,82,8,6,5,1
U000005,11/07,186,35,6,10,1
U000005,11/08,131,35,4,3,2
U000005,11/09,53,35,3,1,1
U000005,11/10,107,12,6,7,3
U000005,11/11,148,6,6,10,4
U000005,11/12,75,20,6,12,2
U000005,11/13,64,31,1,2,4
U000005,11/14,180,21,0,13,1
U000005,11/15,141,19,7,5,1
U000005,11/16,231,16,8,10,0
U000005,11/17,226,16,5,8,1
U000005,11/18,235,5,4,4,4
U000005,11/19,191,23,4,10,4
U000005,11/20,177,6,1,4,3
U000005,11/21,68,33,1,6,1
U000005,11/22,213,10,2,11,1
U000005,11/23,34,25,9,12,2
U000005,11/24,173,32,9,0,0
U000005,11/25,144,39,2,9,0
U000005,11/26,146,10,2,2,1
U000005,11/27,75,13,7,12,4
U000005,11/28,227,6,8,7,2
U000005,11/29,33,14,0,3,1
U000005,11/30,47,16,3,11,3
U000005,12/01,229,35,5,13,4
U000005,12/02,154,7,3,14,4
U000005,12/03,152,28,8,5,1
U000005,12/04,205,34,6,11,1
U000005,12/05,169,28,5,1,0
U000005,12/06,203,30,9,8,3
U000005,12/07,167,31,5,5,0
U000005,12/08,90,8,9,14,4
U000005,12/09,178,23,5,2,2
U000005,12/10,64,27,0,10,1
U000005,12/11,130,7,0,8,1
U000005,12/12,71,13,4,10,2
U000005,12/13,104,35,4,1,1
U000005,12/14,228,16,2,3,3
U000005,12/15,163,9,4,11,0
U000005,12/16,146,31,6,1,4
U000005,12/17,80,38,9,12,3
U000005,12/18,158,39,4,0,4
U000005,12/19,228,20,8,3,0
U000005,12/20,110,7,6,14,1
U000005,12/21,204,8,0,7,4
U000005,12/22,143,9,7,10,3
U000005,12/23,62,13,0,5,1
U000005,12/24,155,17,2,3,4
U000005,12/25,97,24,3,14,3
U000005,12/26,106,34,0,0,3
U000005,12/27,103,21,1,7,3
U000005,12/28,56,32,9,8,0
U000005,12/29,125,26,4,1,2
U000005,12/30,76,31,2,9,3
U000005,12/31,193,10,0,7,2
U000005,01/01,218,26,3,9,1
U000005,01/02,48,32,6,4,0
U000005,01/03,142,5,0,3,2
U000005,01/04,217,12,3,1,4
U000005,01/05,171,20,2,2,0
U000005,01/06,237,25,7,6,1
U000005,01/07,131,12,5,10,4
U000005,01/08,239,21,6,6,3
U000005,01/09,129,5,3,6,2
U000005,01/10,118,8,1,11,0
U000005,01/11,32,27,0,10,1
U000005,01/12,31,27,9,2,1
U000005,01/13,39,37,3,11,1
U000005,01/14,205,35,0,3,4
U000005,01/15,60,36,4,3,2
U000005,01/16,115,9,0,11,3
U000005,01/17,225,38,8,7,0
U000005,01/18,210,5,9,11,2
U000005,01/19,89,6,0,2,2
U000005,01/20,170,27,6,2,0
U000005,01/21,117,37,7,8,3
U000005,01/22,67,22,4,5,3
U000005,01/23,169,25,6,7,1
U000005,01/24,91,30,0,5,0
U000005,01/25,119,38,7,4,0
U000005,01/26,116,35,3,6,1
U000005,01/27,178,31,3,11,0
U000005,01/28,157,22,7,11,2
U000005,01/29,93,38,8,9,4
U000006,11/01,87,20,9,1,0
U000006,11/02,159,8,1,5,3
U000006,11/03,38,13,8,11,1
U000006,11/04,237,15,7,2,0
U000006,11/05,68,8,5,7,0
U000006,11/06,223,9,6,1,2
U000006,11/07,57,10,0,4,4
U000006,11/08,77,16,3,13,0
U000006,11/09,35,5,4,1,4
U000006,11/10,63,37,7,7,1
U000006,11/11,199,15,4,8,4
U000006,11/12,228,36,6,1,3
U000006,11/13,173,31,8,0,4
U000006,11/14,154,27,0,10,3
U000006,11/15,150,8,9,3,0
U000006,11/16,219,19,5,14,0
U000006,11/17,88,34,9,13,0
U000006,11/18,96,26,1,3,0
U000006,11/19,46,15,5,3,3
U000006,11/20,163,28,7,0,2
U000006,11/21,60,16,9,9,2
U000006,11/22,58,13,9,9,2
U000006,11/23,137,21,5,3,0
U000006,11/24,110,22,3,12,0
U000006,11/25,143,22,9,13,4
U000006,11/26,218,11,4,0,0
U000006,11/27,195,9,4,10,1
U000006,11/28,237,11,1,0,4
U000006,11/29,184,32,7,6,1
U000006,11/30,151,27,7,14,4
U000006,12/01,220,23,7,8,1
U000006,12/02,200,11,7,8,4
U000006,12/03,230,18,2,13,2
U000006,12/04,235,15,0,7,1
U000006,12/05,219,39,0,7,1
U000006,12/06,128,6,3,13,0
U000006,12/07,208,35,0,2,1
U000006,12/08,157,33,4,1,4
U000006,12/09,227,15,6,0,3
U000006,12/10,172,17,0,0,0
U000006,12/11,172,35,2,2,4
U000006,12/12,111,20,9,11,1
U000006,12/13,134,21,7,4,3
U000006,12/14,193,35,2,14,3
U000006,12/15,52,38,5,12,3
U000006,12/16,174,6,2,14,4
U000006,12/17,93,36,9,1,3
U000006,12/18,194,16,8,8,3
U000006,12/19,230,5,2,14,4
U000006,12/20,230,33,0,8,0
U000006,12/21,161,37,9,4,3
U000006,12/22,114,18,0,14,2
U000006,12/23,231,35,1,2,3
U000006,12/24,123,38,6,14,4
U000006,12/25,196,6,1,13,2
U000006,12/26,77,7,8,8,3
U000006,12/27,187,15,6,9,0
U000006,12/28,51,13,0,1,2
U000006,12/29,168,29,3,4,0
U000006,12/30,213,17,9,8,4
U000006,12/31,182,38,6,9,1
U000006,01/01,70,19,3,7,4
U000006,01/02,224,24,7,0,3
U000006,01/03,238,23,3,8,3
U000006,01/04,224,8,6,3,2
U000006,01/05,165,32,9,2,0
U000006,01/06,150,17,5,11,4
U000006,01/07,43,14,5,13,1
U000006,01/08,56,6,8,9,4
U000006,01/09,104,28,6,9,3
U000006,01/10,61,20,0,13,1
U000006,01/11,74,38,9,0,0
U000006,01/12,156,38,6,12,3
U000006,01/13,137,18,8,8,2
U000006,01/14,93,15,9,14,0
U000006,01/15,56,29,3,14,3
U000006,01/16,113,11,2,8,0
U000006,01/17,45,39,0,3,3
U000006,01/18,54,7,0,14,4
U000006,01/19,91,33,7,1,0
U000006,01/20,192,27,1,3,2
U000006,01/21,115,11,5,8,2
U000006,01/22,206,12,9,0,0
U000006,01/23,215,37,1,7,4
U000006,01/24,211,34,5,0,0
U000006,01/25,208,16,0,0,3
U000006,01/26,97,18,6,7,0
U000006,01/27,34,22,5,3,4
U000006,01/28,148,30,3,12,3
U000006,01/29,211,25,4,0,2
U000007,11/01,124,37,0,13,1
U000007,11/02,57,33,9,3,3
U000007,11/03,159,20,0,0,4
U000007,11/04,226,30,3,12,4
U000007,11/05,206,24,9,9,4
U000007,11/06,138,34,1,1,0
U000007,11/07,210,11,5,13,0
U000007,11/08,172,7,6,7,0
U000007,11/09,233,16,5,6,3
U000007,11/10,109,29,4,11,1
U000007,11/11,208,38,1,5,4
U000007,11/12,180,38,1,2,2
U000007,11/13,146,21,8,11,2
U000007,11/14,92,30,6,5,2
U000007,11/15,220,34,9,11,4
U000007,11/16,142,36,1,1,4
U000007,11/17,130,25,0,4,2
U000007,11/18,66,30,6,9,3
U000007,11/19,87,30,1,6,2
U000007,11/20,166,15,7,13,0
U000007,11/21,159,15,6,3,2
U000007,11/22,90,24,7,3,0
U000007,11/23,72,26,0,0,4
U000007,11/24,115,29,6,12,2
U000007,11/25,221,18,9,7,1
U000007,11/26,102,25,3,1,4
U000007,11/27,195,23,7,1,2
U000007,11/28,41,39,2,14,4
U000007,11/29,226,12,3,8,3
U000007,11/30,110,7,0,11,3
U000007,12/01,81,34,5,1,2
U000007,12/02,102,27,5,9,2
U000007,12/03,224,5,8,10,0
U000007,12/04,176,7,9,10,1
U000007,12/05,102,38,1,8,1
U000007,12/06,60,7,9,4,3
U000007,12/07,41,32,8,13,3
U000007,12/08,119,11,9,10,3
U000007,12/09,66,39,8,6,3
U000007,12/10,198,33,7,13,4
U000007,12/11,31,14,8,5,4
U000007,12/12,154,23,7,1,3
U000007,12/13,129,24,5,8,3
U000007,12/14,64,35,8,1,3
U000007,12/15,40,21,4,12,2
U000007,12/16,231,36,2,2,1
U000007,12/17,63,31,1,9,2
U000007,12/18,91,37,3,0,1
U000007,12/19,61,22,9,0,1
U000007,12/20,145,14,8,8,0
U000007,12/21,123,36,5,3,1
U000007,12/22,41,24,6,13,2
U000007,12/23,46,12,2,1,0
U000007,12/24,123,19,7,3,0
U000007,12/25,134,16,7,6,3
U000007,12/26,175,11,6,12,1
U000007,12/27,208,26,2,13,0
U000007,12/28,61,17,8,3,2
U000007,12/29,105,12,9,9,2
U000007,12/30,98,12,3,9,1
U000007,12/31,148,32,7,12,4
U000007,01/01,119,37,9,1,2
U000007,01/02,48,32,0,4,2
U000007,01/03,140,13,9,14,3
U000007,01/04,40,39,8,4,3
U000007,01/05,55,26,6,4,4
U000007,01/06,88,29,9,13,0
U000007,01/07,143,7,2,9,3
U000007,01/08,151,7,3,10,3
U000007,01/09,131,16,1,12,1
U000007,01/10,213,13,6,0,3
U000007,01/11,35,22,8,14,2
U000007,01/12,112,38,0,9,2
U000007,01/13,33,33,5,0,4
U000007,01/14,225,27,8,10,0
U000007,01/15,172,21,2,7,2
U000007,01/16,194,12,5,10,4
U000007,01/17,120,25,0,3,1
U000007,01/18,149,8,9,1,3
U000007,01/19,159,27,8,3,2
U000007,01/20,119,30,2,9,3
U000007,01/21,235,24,0,5,1
U000007,01/22,121,30,6,6,0
U000007,01/23,229,23,0,6,0
U000007,01/24,66,27,9,3,0
U000007,01/25,146,13,4,8,3
U000007,01/26,193,18,1,9,2
U000007,01/27,98,7,6,1,4
U000007,01/28,59,5,7,6,1
U000007,01/29,47,37,1,8,4
U000008,11/01,171,12,8,4,2
U000008,11/02,105,22,7,3,3
U000008,11/03,232,25,3,5,0
U000008,11/04,113,39,9,5,4
U000008,11/05,158,36,9,10,4
U000008,11/06,183,10,9,2,1
U000008,11/07,222,23,2,14,3
U000008,11/08,32,15,2,3,2
U000008,11/09,37,23,4,12,2
U000008,11/10,207,38,5,13,0
U000008,11/11,122,9,4,2,4
U000008,11/12,106,38,0,9,1
U000008,11/13,126,34,4,1,2
U000008,11/14,234,8,8,10,1
U000008,11/15,123,17,4,14,2
U000008,11/16,167,5,7,3,1
U000008,11/17,99,37,1,4,4
U000008,11/18,184,39,0,12,4
U000008,11/19,62,27,3,0,0
U000008,11/20,92,23,4,13,0
U000008,11/21,83,12,1,12,1
U000008,11/22,214,15,3,14,4
U000008,11/23,67,11,1,8,2
U000008,11/24,211,32,9,5,4
U000008,11/25,80,11,1,9,4
U000008,11/26,212,15,5,4,2
U000008,11/27,136,18,0,4,3
U000008,11/28,69,5,5,12,3
U000008,11/29,201,30,0,4,2
U000008,11/30,148,32,7,11,0
U000008,12/01,104,23,5,11,2
U000008,12/02,161,26,9,8,4
U000008,12/03,201,23,8,4,4
U000008,12/04,127,20,9,0,0
U000008,12/05,164,11,7,2,0
U000008,12/06,221,9,6,3,4
U000008,12/07,178,23,2,12,2
U000008,12/08,163,16,1,7,0
U000008,12/09,233,11,5,3,3
U000008,12/10,142,20,3,13,2
U000008,12/11,208,10,9,7,4
U000008,12/12,90,24,1,3,0
U000008,12/13,89,23,2,8,4
U000008,12/14,203,30,6,6,1
U000008,12/15,133,30,3,8,2
U000008,12/16,186,36,7,7,3
U000008,12/17,149,5,9,5,0
U000008,12/18,154,11,7,11,0
U000008,12/19,143,36,1,13,4
U000008,12/20,48,25,8,2,3
U000008,12/21,38,29,3,4,0
U000008,12/22,173,39,9,1,0
U000008,12/23,111,36,8,9,1
U000008,12/24,141,37,8,0,2
U000008,12/25,206,23,4,0,2
U000008,12/26,231,36,9,11,2
U000008,12/27,93,23,5,7,4
U000008,12/28,96,10,6,6,1
U000008,12/29,146,9,4,6,4
U000008,12/30,92,25,2,7,3
U000008,12/31,237,19,5,6,1
U000008,01/01,232,9,9,14,0
U000008,01/02,57,25,1,0,3
U000008,01/03,227,21,6,10,3
U000008,01/04,121,29,7,9,1
U000008,01/05,127,16,0,11,2
U000008,01/06,81,23,2,7,0
U000008,01/07,61,17,3,10,3
U000008,01/08,105,18,3,4,0
U000008,01/09,147,25,0,5,0
U000008,01/10,77,13,1,11,3
U000008,01/11,220,18,3,3,1
U000008,01/12,83,10,8,0,1
U000008,01/13,110,14,4,6,0
U000008,01/14,187,19,9,5,3
U000008,01/15,194,23,3,2,4
U000008,01/16,42,36,8,13,4
U000008,01/17,200,12,1,3,4
U000008,01/18,193,16,7,0,3
U000008,01/19,45,5,1,8,3
U000008,01/20,192,37,6,11,0
U000008,01/21,99,26,4,6,1
U000008,01/22,75,8,3,8,1
U000008,01/23,193,25,1,10,4
U000008,01/24,77,31,7,7,0
U000008,01/25,198,11,8,0,4
U000008,01/26,162,11,8,12,4
U000008,01/27,103,37,5,9,4
U000008,01/28,44,21,0,5,2
U000008,01/29,74,39,8,12,0
U000009,11/01,98,34,7,10,0
U000009,11/02,213,19,4,0,4
U000009,11/03,238,10,9,11,2
U000009,11/04,105,10,8,2,4
U000009,11/05,54,20,6,4,2
U000009,11/06,78,18,9,4,0
U000009,11/07,112,11,0,11,4
U000009,11/08,45,8,5,6,2
U000009,11/09,39,24,7,6,1
U000009,11/10,135,30,3,5,2
U000009,11/11,109,14,7,3,0
U000009,11/12,188,23,9,8,0
U000009,11/13,189,27,7,0,4
U000009,11/14,90,25,8,0,1
U000009,11/15,177,15,2,8,4
U000009,11/16,45,6,3,8,3
U000009,11/17,180,37,8,10,3
U000009,11/18,78,32,9,11,4
U000009,11/19,231,29,5,7,3
U000009,11/20,85,27,7,14,2
U000009,11/21,94,24,4,1,1
U000009,11/22,217,8,9,6,2
U000009,11/23,92,23,8,13,4
U000009,11/24,126,24,1,7,0
U000009,11/25,143,22,8,6,4
U000009,11/26,62,39,8,0,2
U000009,11/27,189,23,3,2,3
U000009,11/28,93,33,0,10,4
U000009,11/29,55,6,3,2,2
U000009,11/30,200,32,6,4,3
U000009,12/01,218,29,9,13,1
U000009,12/02,111,22,9,3,1
U000009,12/03,59,37,2,0,3
U000009,12/04,123,31,8,9,4
U000009,12/05,170,37,1,10,4
U000009,12/06,38,13,4,12,2
U000009,12/07,215,29,7,11,0
U000009,12/08,196,13,3,10,2
U000009,12/09,165,38,6,5,4
U000009,12/10,122,36,2,2,2
U000009,12/11,122,35,7,13,3
U000009,12/12,130,9,2,4,3
U000009,12/13,188,10,9,8,3
U000009,12/14,186,12,8,5,0
U000009,12/15,189,7,7,4,3
U000009,12/16,137,7,9,6,3
U000009,12/17,176,23,9,13,2
U000009,12/18,160,5,3,12,4
U000009,12/19,102,5,5,1,0
U000009,12/20,112,21,5,9,0
U000009,12/21,131,35,0,14,3
U000009,12/22,193,5,2,14,3
U000009,12/23,182,34,2,10,4
