log_id,user_id,event_type,event_date,detail
LOG00000098,U000307,gacha_pull,2024-07-17,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000099,U000555,gacha_pull,2024-06-23,"{""pull_type"": ""ten_pull"", ""got_epic"": 1}"
LOG00000100,U000214,stage_clear,2024-11-15,"{""stage"": 88, ""stars"": 2}"
LOG00000101,U000332,guild_activity,2024-08-25,{}
LOG00000102,U000973,stage_clear,2024-08-30,"{""stage"": 117, ""stars"": 2}"
LOG00000103,U000040,guild_activity,2024-10-07,{}
LOG00000104,U000622,cookie_upgrade,2024-09-09,{}
LOG00000105,U000319,shop_purchase,2024-07-17,{}
LOG00000106,U000332,guild_activity,2024-06-14,{}
LOG00000107,U000896,gacha_pull,2024-09-14,"{""pull_type"": ""single"", ""got_epic"": 0}"
LOG00000108,U000895,stage_clear,2024-11-24,"{""stage"": 237, ""stars"": 2}"
LOG00000109,U000102,stage_clear,2024-06-12,"{""stage"": 210, ""stars"": 3}"
LOG00000110,U000325,gacha_pull,2024-06-15,"{""pull_type"": ""ten_pull"", ""got_epic"": 1}"
LOG00000111,U000302,stage_clear,2024-11-04,"{""stage"": 208, ""stars"": 3}"
LOG00000112,U000309,gacha_pull,2024-10-11,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000113,U000882,pvp_battle,2024-07-30,"{""result"": ""win""}"
LOG00000114,U000708,stage_clear,2024-10-29,"{""stage"": 371, ""stars"": 1}"
LOG00000115,U000175,stage_clear,2024-09-17,"{""stage"": 3, ""stars"": 3}"
LOG00000116,U000972,pvp_battle,2024-09-04,"{""result"": ""lose""}"
LOG00000117,U000589,pvp_battle,2024-06-01,"{""result"": ""lose""}"
LOG00000118,U000125,stage_clear,2024-11-03,"{""stage"": 364, ""stars"": 3}"
LOG00000119,U000531,cookie_upgrade,2024-10-13,{}
LOG00000120,U000609,pvp_battle,2024-10-12,"{""result"": ""win""}"
LOG00000121,U000123,guild_activity,2024-06-20,{}
LOG00000122,U000975,gacha_pull,2024-07-19,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000123,U000345,stage_clear,2024-10-03,"{""stage"": 86, ""stars"": 1}"
LOG00000124,U000298,stage_clear,2024-08-22,"{""stage"": 320, ""stars"": 1}"
LOG00000125,U000020,shop_purchase,2024-06-28,{}
LOG00000126,U000073,stage_clear,2024-11-09,"{""stage"": 226, ""stars"": 2}"
LOG00000127,U000142,shop_purchase,2024-11-21,{}
LOG00000128,U000320,gacha_pull,2024-08-12,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000129,U000336,stage_clear,2024-07-23,"{""stage"": 248, ""stars"": 3}"
LOG00000130,U000103,stage_clear,2024-08-18,"{""stage"": 52, ""stars"": 2}"
LOG00000131,U000800,stage_clear,2024-08-19,"{""stage"": 27, ""stars"": 1}"
LOG00000132,U000005,stage_clear,2024-11-23,"{""stage"": 400, ""stars"": 3}"
LOG00000133,U000206,gacha_pull,2024-08-13,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000134,U000728,stage_clear,2024-07-04,"{""stage"": 352, ""stars"": 3}"
LOG00000135,U000438,stage_clear,2024-11-23,"{""stage"": 147, ""stars"": 2}"
LOG00000136,U000903,gacha_pull,2024-07-18,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000137,U000417,stage_clear,2024-07-07,"{""stage"": 349, ""stars"": 2}"
LOG00000138,U000822,stage_clear,2024-08-10,"{""stage"": 129, ""stars"": 3}"
LOG00000139,U000445,guild_activity,2024-10-14,{}
LOG00000140,U000998,gacha_pull,2024-09-17,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000141,U000991,cookie_upgrade,2024-09-26,{}
LOG00000142,U000402,guild_activity,2024-06-28,{}
LOG00000143,U000835,stage_clear,2024-08-06,"{""stage"": 366, ""stars"": 3}"
LOG00000144,U000328,shop_purchase,2024-06-26,{}
LOG00000145,U000491,shop_purchase,2024-09-27,{}
LOG00000146,U000876,guild_activity,2024-11-01,{}
LOG00000147,U000860,gacha_pull,2024-11-25,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000148,U000757,stage_clear,2024-09-11,"{""stage"": 365, ""stars"": 3}"
LOG00000149,U000327,shop_purchase,2024-07-25,{}
LOG00000150,U000180,stage_clear,2024-08-08,"{""stage"": 391, ""stars"": 3}"
LOG00000151,U000113,cookie_upgrade,2024-11-02,{}
LOG00000152,U000308,cookie_upgrade,2024-10-12,{}
LOG00000153,U000333,gacha_pull,2024-09-06,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000154,U000863,cookie_upgrade,2024-07-21,{}
LOG00000155,U000992,stage_clear,2024-07-28,"{""stage"": 131, ""stars"": 1}"
LOG00000156,U000740,cookie_upgrade,2024-09-08,{}
LOG00000157,U000754,stage_clear,2024-10-09,"{""stage"": 82, ""stars"": 3}"
LOG00000158,U000013,shop_purchase,2024-09-14,{}
LOG00000159,U000295,stage_clear,2024-11-20,"{""stage"": 141, ""stars"": 2}"
LOG00000160,U000995,stage_clear,2024-07-16,"{""stage"": 143, ""stars"": 2}"
LOG00000161,U000639,gacha_pull,2024-09-06,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000162,U000041,stage_clear,2024-08-29,"{""stage"": 44, ""stars"": 3}"
LOG00000163,U000852,stage_clear,2024-11-03,"{""stage"": 173, ""stars"": 1}"
LOG00000164,U000146,cookie_upgrade,2024-07-16,{}
LOG00000165,U000922,gacha_pull,2024-06-27,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000166,U000344,stage_clear,2024-08-20,"{""stage"": 81, ""stars"": 2}"
LOG00000167,U000281,pvp_battle,2024-10-18,"{""result"": ""win""}"
LOG00000168,U000270,stage_clear,2024-10-28,"{""stage"": 437, ""stars"": 1}"
LOG00000169,U000340,guild_activity,2024-10-06,{}
LOG00000170,U000583,stage_clear,2024-08-07,"{""stage"": 35, ""stars"": 3}"
LOG00000171,U000752,pvp_battle,2024-10-13,"{""result"": ""lose""}"
LOG00000172,U000477,pvp_battle,2024-11-12,"{""result"": ""win""}"
LOG00000173,U000627,shop_purchase,2024-09-26,{}
LOG00000174,U000296,cookie_upgrade,2024-11-15,{}
LOG00000175,U000328,gacha_pull,2024-08-15,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000176,U000032,stage_clear,2024-06-14,"{""stage"": 398, ""stars"": 3}"
LOG00000177,U000901,shop_purchase,2024-07-13,{}
LOG00000178,U000428,pvp_battle,2024-06-08,"{""result"": ""lose""}"
LOG00000179,U000829,stage_clear,2024-08-28,"{""stage"": 498, ""stars"": 1}"
LOG00000180,U000592,pvp_battle,2024-09-16,"{""result"": ""win""}"
LOG00000181,U000298,pvp_battle,2024-07-17,"{""result"": ""lose""}"
LOG00000182,U000587,stage_clear,2024-10-28,"{""stage"": 404, ""stars"": 3}"
LOG00000183,U000697,stage_clear,2024-07-19,"{""stage"": 119, ""stars"": 3}"
LOG00000184,U000662,stage_clear,2024-06-16,"{""stage"": 202, ""stars"": 3}"
LOG00000185,U000456,cookie_upgrade,2024-08-18,{}
LOG00000186,U000388,shop_purchase,2024-06-02,{}
LOG00000187,U000464,gacha_pull,2024-09-20,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000188,U000412,pvp_battle,2024-06-18,"{""result"": ""win""}"
LOG00000189,U000041,stage_clear,2024-09-21,"{""stage"": 192, ""stars"": 1}"
LOG00000190,U000122,pvp_battle,2024-09-08,"{""result"": ""lose""}"
LOG00000191,U000160,stage_clear,2024-06-30,"{""stage"": 251, ""stars"": 2}"
LOG00000192,U000819,pvp_battle,2024-10-02,"{""result"": ""lose""}"
LOG00000193,U000332,pvp_battle,2024-07-24,"{""result"": ""lose""}"
LOG00000194,U000469,shop_purchase,2024-08-22,{}
LOG00000195,U000148,gacha_pull,2024-11-24,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000196,U000385,stage_clear,2024-11-14,"{""stage"": 466, ""stars"": 3}"
LOG00000197,U000924,guild_activity,2024-11-19,{}
LOG00000198,U000647,cookie_upgrade,2024-11-15,{}
LOG00000199,U000025,gacha_pull,2024-08-04,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000200,U000368,stage_clear,2024-10-10,"{""stage"": 253, ""stars"": 2}"
LOG00000201,U000830,shop_purchase,2024-10-15,{}
LOG00000202,U000156,stage_clear,2024-08-07,"{""stage"": 406, ""stars"": 3}"
LOG00000203,U000002,shop_purchase,2024-10-11,{}
LOG00000204,U000476,guild_activity,2024-07-19,{}
LOG00000205,U000403,cookie_upgrade,2024-08-03,{}
LOG00000206,U000664,stage_clear,2024-08-20,"{""stage"": 20, ""stars"": 3}"
LOG00000207,U000575,stage_clear,2024-11-20,"{""stage"": 465, ""stars"": 3}"
LOG00000208,U000177,cookie_upgrade,2024-07-03,{}
LOG00000209,U000434,stage_clear,2024-07-05,"{""stage"": 320, ""stars"": 1}"
LOG00000210,U000686,stage_clear,2024-10-14,"{""stage"": 370, ""stars"": 1}"
LOG00000211,U000320,pvp_battle,2024-10-24,"{""result"": ""lose""}"
LOG00000212,U000934,stage_clear,2024-09-02,"{""stage"": 186, ""stars"": 1}"
LOG00000213,U000633,shop_purchase,2024-10-20,{}
LOG00000214,U000208,pvp_battle,2024-06-11,"{""result"": ""lose""}"
LOG00000215,U000129,gacha_pull,2024-09-03,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000216,U000574,stage_clear,2024-08-11,"{""stage"": 175, ""stars"": 2}"
LOG00000217,U000031,shop_purchase,2024-11-07,{}
LOG00000218,U000775,stage_clear,2024-11-06,"{""stage"": 313, ""stars"": 3}"
LOG00000219,U000413,stage_clear,2024-11-12,"{""stage"": 331, ""stars"": 2}"
LOG00000220,U000839,guild_activity,2024-07-29,{}
LOG00000221,U000355,shop_purchase,2024-07-16,{}
LOG00000222,U000312,stage_clear,2024-07-26,"{""stage"": 276, ""stars"": 1}"
LOG00000223,U000255,cookie_upgrade,2024-09-19,{}
LOG00000224,U000113,cookie_upgrade,2024-08-01,{}
LOG00000225,U000875,gacha_pull,2024-06-06,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000226,U000169,cookie_upgrade,2024-08-21,{}
LOG00000227,U000102,cookie_upgrade,2024-06-16,{}
LOG00000228,U000469,stage_clear,2024-08-04,"{""stage"": 55, ""stars"": 3}"
LOG00000229,U000621,stage_clear,2024-07-02,"{""stage"": 221, ""stars"": 3}"
LOG00000230,U000146,gacha_pull,2024-07-22,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000231,U000250,stage_clear,2024-11-01,"{""stage"": 457, ""stars"": 2}"
LOG00000232,U000138,shop_purchase,2024-07-06,{}
LOG00000233,U000884,stage_clear,2024-10-24,"{""stage"": 238, ""stars"": 3}"
LOG00000234,U000842,stage_clear,2024-08-14,"{""stage"": 419, ""stars"": 3}"
LOG00000235,U000454,cookie_upgrade,2024-07-24,{}
LOG00000236,U000480,stage_clear,2024-08-06,"{""stage"": 47, ""stars"": 3}"
LOG00000237,U000962,cookie_upgrade,2024-08-18,{}
LOG00000238,U000600,cookie_upgrade,2024-09-13,{}
LOG00000239,U000291,shop_purchase,2024-10-06,{}
LOG00000240,U000622,pvp_battle,2024-06-25,"{""result"": ""lose""}"
LOG00000241,U000455,stage_clear,2024-07-30,"{""stage"": 175, ""stars"": 1}"
LOG00000242,U000230,guild_activity,2024-09-28,{}
LOG00000243,U000871,stage_clear,2024-07-25,"{""stage"": 173, ""stars"": 1}"
LOG00000244,U000671,shop_purchase,2024-07-17,{}
LOG00000245,U000364,stage_clear,2024-07-19,"{""stage"": 88, ""stars"": 3}"
LOG00000246,U000756,pvp_battle,2024-07-15,"{""result"": ""lose""}"
LOG00000247,U000737,guild_activity,2024-07-05,{}
LOG00000248,U000063,stage_clear,2024-06-27,"{""stage"": 342, ""stars"": 3}"
LOG00000249,U000502,stage_clear,2024-06-01,"{""stage"": 64, ""stars"": 3}"
LOG00000250,U000597,guild_activity,2024-09-30,{}
LOG00000251,U000723,pvp_battle,2024-10-14,"{""result"": ""lose""}"
LOG00000252,U000595,pvp_battle,2024-07-29,"{""result"": ""win""}"
LOG00000253,U000449,cookie_upgrade,2024-11-19,{}
LOG00000254,U000070,gacha_pull,2024-07-24,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000255,U000612,cookie_upgrade,2024-10-21,{}
LOG00000256,U000575,cookie_upgrade,2024-06-02,{}
LOG00000257,U000243,shop_purchase,2024-09-23,{}
LOG00000258,U000035,cookie_upgrade,2024-08-14,{}
LOG00000259,U000502,cookie_upgrade,2024-08-25,{}
LOG00000260,U000412,guild_activity,2024-06-13,{}
LOG00000261,U000452,cookie_upgrade,2024-11-11,{}
LOG00000262,U000430,stage_clear,2024-09-09,"{""stage"": 238, ""stars"": 2}"
LOG00000263,U000598,pvp_battle,2024-09-17,"{""result"": ""win""}"
LOG00000264,U000048,stage_clear,2024-11-14,"{""stage"": 326, ""stars"": 3}"
LOG00000265,U000872,gacha_pull,2024-07-11,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000266,U000980,gacha_pull,2024-06-13,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000267,U000165,stage_clear,2024-09-19,"{""stage"": 439, ""stars"": 3}"
LOG00000268,U000608,pvp_battle,2024-06-15,"{""result"": ""lose""}"
LOG00000269,U000059,gacha_pull,2024-10-09,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000270,U000180,stage_clear,2024-08-15,"{""stage"": 334, ""stars"": 2}"
LOG00000271,U000108,stage_clear,2024-10-07,"{""stage"": 91, ""stars"": 2}"
LOG00000272,U000563,pvp_battle,2024-09-22,"{""result"": ""lose""}"
LOG00000273,U000784,cookie_upgrade,2024-10-26,{}
LOG00000274,U000228,cookie_upgrade,2024-10-27,{}
LOG00000275,U000082,gacha_pull,2024-07-21,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000276,U000183,cookie_upgrade,2024-07-05,{}
LOG00000277,U000361,stage_clear,2024-11-20,"{""stage"": 102, ""stars"": 3}"
LOG00000278,U000795,stage_clear,2024-10-22,"{""stage"": 391, ""stars"": 2}"
LOG00000279,U000747,stage_clear,2024-07-23,"{""stage"": 264, ""stars"": 1}"
LOG00000280,U000046,pvp_battle,2024-07-08,"{""result"": ""lose""}"
LOG00000281,U000599,pvp_battle,2024-11-08,"{""result"": ""win""}"
LOG00000282,U000970,guild_activity,2024-09-19,{}
LOG00000283,U000685,cookie_upgrade,2024-08-05,{}
LOG00000284,U000229,shop_purchase,2024-09-01,{}
LOG00000285,U000581,cookie_upgrade,2024-06-30,{}
LOG00000286,U000288,gacha_pull,2024-10-14,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000287,U000864,cookie_upgrade,2024-07-02,{}
LOG00000288,U000855,stage_clear,2024-08-15,"{""stage"": 379, ""stars"": 1}"
LOG00000289,U000070,pvp_battle,2024-06-19,"{""result"": ""win""}"
LOG00000290,U000893,stage_clear,2024-07-14,"{""stage"": 267, ""stars"": 3}"
LOG00000291,U000166,stage_clear,2024-10-13,"{""stage"": 88, ""stars"": 3}"
LOG00000292,U000124,guild_activity,2024-09-15,{}
LOG00000293,U000054,guild_activity,2024-06-08,{}
LOG00000294,U000098,stage_clear,2024-11-20,"{""stage"": 379, ""stars"": 3}"
LOG00000295,U000090,shop_purchase,2024-08-14,{}
LOG00000296,U000447,stage_clear,2024-10-30,"{""stage"": 310, ""stars"": 3}"
LOG00000297,U000617,cookie_upgrade,2024-07-28,{}
LOG00000298,U000984,pvp_battle,2024-09-24,"{""result"": ""lose""}"
LOG00000299,U000105,guild_activity,2024-07-11,{}
LOG00000300,U000997,stage_clear,2024-11-23,"{""stage"": 51, ""stars"": 3}"
LOG00000301,U000331,stage_clear,2024-06-12,"{""stage"": 336, ""stars"": 3}"
LOG00000302,U000889,guild_activity,2024-10-17,{}
LOG00000303,U000651,stage_clear,2024-08-14,"{""stage"": 453, ""stars"": 2}"
LOG00000304,U000153,guild_activity,2024-07-20,{}
LOG00000305,U000137,guild_activity,2024-10-01,{}
LOG00000306,U000751,shop_purchase,2024-06-29,{}
LOG00000307,U000909,pvp_battle,2024-09-19,"{""result"": ""win""}"
LOG00000308,U000169,pvp_battle,2024-08-08,"{""result"": ""win""}"
LOG00000309,U000865,guild_activity,2024-10-20,{}
LOG00000310,U000363,stage_clear,2024-10-01,"{""stage"": 2, ""stars"": 3}"
LOG00000311,U000184,shop_purchase,2024-06-09,{}
LOG00000312,U000968,stage_clear,2024-10-15,"{""stage"": 191, ""stars"": 3}"
LOG00000313,U000334,stage_clear,2024-10-14,"{""stage"": 163, ""stars"": 1}"
LOG00000314,U000610,gacha_pull,2024-08-17,"{""pull_type"": ""single"", ""got_epic"": 0}"
LOG00000315,U000240,shop_purchase,2024-08-01,{}
LOG00000316,U000745,shop_purchase,2024-10-26,{}
LOG00000317,U000470,gacha_pull,2024-11-17,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000318,U000359,pvp_battle,2024-10-25,"{""result"": ""win""}"
LOG00000319,U000802,stage_clear,2024-11-24,"{""stage"": 263, ""stars"": 2}"
LOG00000320,U000365,pvp_battle,2024-06-07,"{""result"": ""win""}"
LOG00000321,U000363,stage_clear,2024-10-09,"{""stage"": 192, ""stars"": 3}"
LOG00000322,U000996,gacha_pull,2024-06-24,"{""pull_type"": ""single"", ""got_epic"": 0}"
LOG00000323,U000867,guild_activity,2024-11-22,{}
LOG00000324,U000815,guild_activity,2024-11-27,{}
LOG00000325,U000464,guild_activity,2024-06-21,{}
LOG00000326,U000691,stage_clear,2024-07-01,"{""stage"": 57, ""stars"": 3}"
LOG00000327,U000103,cookie_upgrade,2024-09-21,{}
LOG00000328,U000607,pvp_battle,2024-11-11,"{""result"": ""lose""}"
LOG00000329,U000891,cookie_upgrade,2024-08-14,{}
LOG00000330,U000685,cookie_upgrade,2024-10-15,{}
LOG00000331,U000616,pvp_battle,2024-08-31,"{""result"": ""win""}"
LOG00000332,U000773,stage_clear,2024-10-28,"{""stage"": 169, ""stars"": 3}"
LOG00000333,U000755,stage_clear,2024-09-24,"{""stage"": 339, ""stars"": 3}"
LOG00000334,U000492,pvp_battle,2024-09-03,"{""result"": ""lose""}"
LOG00000335,U000419,gacha_pull,2024-07-07,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000336,U000303,pvp_battle,2024-10-31,"{""result"": ""lose""}"
LOG00000337,U000454,stage_clear,2024-08-05,"{""stage"": 237, ""stars"": 2}"
LOG00000338,U000687,cookie_upgrade,2024-09-02,{}
LOG00000339,U000792,pvp_battle,2024-11-07,"{""result"": ""lose""}"
LOG00000340,U000299,pvp_battle,2024-09-20,"{""result"": ""lose""}"
LOG00000341,U000550,guild_activity,2024-11-07,{}
LOG00000342,U000513,gacha_pull,2024-06-14,"{""pull_type"": ""ten_pull"", ""got_epic"": 0}"
LOG00000343,U000199,stage_clear,2024-09-24,"{""stage"": 284, ""stars"": 2}"
LOG00000344,U000106,shop_purchase,2024-11-08,{}
LOG00000345,U000876,stage_clear,2024-07-10,"{""stage"": 480, ""stars"": 3}"
LOG00000346,U000786,guild_activity,2024-06-19,{}
LOG00000347,U000024,stage_clear,2024-08-16,"{""stage"": 22, ""stars"": 3}"
LOG00000348,U000842,cookie_upgrade,2024-09-13,{}
LOG00000349,U000447,stage_clear,2024-09-08,"{""stage"": 235, ""stars"": 1}"
LOG00000350,U000602,cookie_upgrade,2024-10-03,{}
LOG00000351,U000735,pvp_battle,2024-09-13,"{""result"": ""win""}"
LOG00000352,U000333,pvp_battle,2024-06-23,"{""result"": ""lose""}"
LOG00000353,U000129,cookie_upgrade,2024-09-09,{}
